[P1A] Kakav je opći evaluativni ton prikazanog medijskog predstavljanja?,[P1A] Koji okvir najviše određuje način na koji je događaj predstavljen?,[P1A] Koliko ovaj način predstavljanja djeluje pristrasno ili jednostrano?,[P1A] Odakle prvenstveno dolazi evaluativni ili vrijednosni element?,[P2B] Kakav je opći evaluativni ton prikazanog medijskog predstavljanja?,[P2B] Koji okvir najviše određuje način na koji je događaj predstavljen?,[P2B] Koliko ovaj način predstavljanja djeluje pristrasno ili jednostrano?,[P2B] Odakle prvenstveno dolazi evaluativni ili vrijednosni element?,[P3A] Kakav je opći evaluativni ton prikazanog medijskog predstavljanja?,[P3A] Koji okvir najviše određuje način na koji je događaj predstavljen?,[P3A] Koliko ovaj način predstavljanja djeluje pristrasno ili jednostrano?,[P3A] Odakle prvenstveno dolazi evaluativni ili vrijednosni element?,[P4B] Kakav je opći evaluativni ton prikazanog medijskog predstavljanja?,[P4B] Koji okvir najviše određuje način na koji je događaj predstavljen?,[P4B] Koliko ovaj način predstavljanja djeluje pristrasno ili jednostrano?,[P4B] Odakle prvenstveno dolazi evaluativni ili vrijednosni element?,[P5A] Kakav je opći evaluativni ton prikazanog medijskog predstavljanja?,[P5A] Koji okvir najviše određuje način na koji je događaj predstavljen?,[P5A] Koliko ovaj način predstavljanja djeluje pristrasno ili jednostrano?,[P5A] Odakle prvenstveno dolazi evaluativni ili vrijednosni element?,[P1B] Kakav je opći evaluativni ton prikazanog medijskog predstavljanja?,[P1B] Koji okvir najviše određuje način na koji je događaj predstavljen?,[P1B] Koliko ovaj način predstavljanja djeluje pristrasno ili jednostrano?,[P1B] Odakle prvenstveno dolazi evaluativni ili vrijednosni element?,[P2A] Kakav je opći evaluativni ton prikazanog medijskog predstavljanja?,[P2A] Koji okvir najviše određuje način na koji je događaj predstavljen?,[P2A] Koliko ovaj način predstavljanja djeluje pristrasno ili jednostrano?,[P2A] Odakle prvenstveno dolazi evaluativni ili vrijednosni element?,[P3B] Kakav je opći evaluativni ton prikazanog medijskog predstavljanja?,[P3B] Koji okvir najviše određuje način na koji je događaj predstavljen?,[P3B] Koliko ovaj način predstavljanja djeluje pristrasno ili jednostrano?,[P3B] Odakle prvenstveno dolazi evaluativni ili vrijednosni element?,[P4A] Kakav je opći evaluativni ton prikazanog medijskog predstavljanja?,[P4A] Koji okvir najviše određuje način na koji je događaj predstavljen?,[P4A] Koliko ovaj način predstavljanja djeluje pristrasno ili jednostrano?,[P4A] Odakle prvenstveno dolazi evaluativni ili vrijednosni element?,[P5B] Kakav je opći evaluativni ton prikazanog medijskog predstavljanja?,[P5B] Koji okvir najviše određuje način na koji je događaj predstavljen?,[P5B] Koliko ovaj način predstavljanja djeluje pristrasno ili jednostrano?,[P5B] Odakle prvenstveno dolazi evaluativni ili vrijednosni element?
-2 — izrazito negativan,Konflikt,3 — umjereno,Iz oba,+1 — umjereno pozitivan,Odgovornost,1 — nimalo,Iz izjave ili citata političkog aktera ili drugog izvora,+2 — izrazito pozitivan,Nacionalni,4 — prilično,Iz oba,0 — neutralan ili mješovit,Konflikt,2 — blago,Iz oba,+2 — izrazito pozitivan,Nacionalni,4 — prilično,Iz formulacije samog medija / uredništva,-2 — izrazito negativan,Konflikt,4 — prilično,Iz formulacije samog medija / uredništva,-2 — izrazito negativan,Nacionalni,5 — veoma,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Neutralni / pretežno faktografski,1 — nimalo,Iz izjave ili citata političkog aktera ili drugog izvora,-1 — umjereno negativan,Nacionalni,2 — blago,Iz oba,-2 — izrazito negativan,Proceduralni,2 — blago,Iz formulacije samog medija / uredništva
-2 — izrazito negativan,Konflikt,4 — prilično,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,+2 — izrazito pozitivan,Moralni,3 — umjereno,Iz formulacije samog medija / uredništva,-2 — izrazito negativan,Konflikt,4 — prilično,Iz izjave ili citata političkog aktera ili drugog izvora,+2 — izrazito pozitivan,Proceduralni,3 — umjereno,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Konflikt,4 — prilično,Iz izjave ili citata političkog aktera ili drugog izvora,-2 — izrazito negativan,Nacionalni,4 — prilično,Iz izjave ili citata političkog aktera ili drugog izvora,0 — neutralan ili mješovit,Moralni,3 — umjereno,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Iz formulacije samog medija / uredništva
-2 — izrazito negativan,Konflikt,2 — blago,Iz formulacije samog medija / uredništva,-2 — izrazito negativan,Ekonomski,3 — umjereno,Iz izjave ili citata političkog aktera ili drugog izvora,+2 — izrazito pozitivan,Moralni,5 — veoma,Iz oba,-2 — izrazito negativan,Konflikt,4 — prilično,Iz izjave ili citata političkog aktera ili drugog izvora,+2 — izrazito pozitivan,Ekonomski,1 — nimalo,Iz oba,-1 — umjereno negativan,Konflikt,3 — umjereno,Iz formulacije samog medija / uredništva,-2 — izrazito negativan,Konflikt,4 — prilično,Iz izjave ili citata političkog aktera ili drugog izvora,0 — neutralan ili mješovit,Moralni,3 — umjereno,Nema jasno evaluativnog elementa,0 — neutralan ili mješovit,Proceduralni,3 — umjereno,Iz izjave ili citata političkog aktera ili drugog izvora,+1 — umjereno pozitivan,Ekonomski,1 — nimalo,Iz oba
-1 — umjereno negativan,Ekonomski,4 — prilično,Iz oba,0 — neutralan ili mješovit,Moralni,3 — umjereno,Iz oba,+1 — umjereno pozitivan,Moralni,3 — umjereno,Iz oba,0 — neutralan ili mješovit,Moralni,3 — umjereno,Iz oba,-1 — umjereno negativan,Nacionalni,4 — prilično,Iz oba,-1 — umjereno negativan,Neutralni / pretežno faktografski,1 — nimalo,Iz izjave ili citata političkog aktera ili drugog izvora,-2 — izrazito negativan,Proceduralni,4 — prilično,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Moralni,4 — prilično,Nema jasno evaluativnog elementa,-1 — umjereno negativan,Ekonomski,3 — umjereno,Iz oba,-2 — izrazito negativan,Moralni,4 — prilično,Iz oba
-1 — umjereno negativan,Konflikt,4 — prilično,Nema jasno evaluativnog elementa,-1 — umjereno negativan,Konflikt,4 — prilično,Nema jasno evaluativnog elementa,+2 — izrazito pozitivan,Odgovornost,1 — nimalo,Iz oba,-2 — izrazito negativan,Konflikt,3 — umjereno,Iz oba,+1 — umjereno pozitivan,Proceduralni,1 — nimalo,Iz formulacije samog medija / uredništva,-2 — izrazito negativan,Konflikt,2 — blago,Iz oba,-2 — izrazito negativan,Konflikt,2 — blago,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Neutralni / pretežno faktografski,1 — nimalo,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Iz formulacije samog medija / uredništva
-2 — izrazito negativan,Konflikt,4 — prilično,Iz oba,-1 — umjereno negativan,Nacionalni,3 — umjereno,Iz izjave ili citata političkog aktera ili drugog izvora,+2 — izrazito pozitivan,Moralni,5 — veoma,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Konflikt,3 — umjereno,Iz izjave ili citata političkog aktera ili drugog izvora,+2 — izrazito pozitivan,Nacionalni,4 — prilično,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Konflikt,4 — prilično,Iz izjave ili citata političkog aktera ili drugog izvora,-2 — izrazito negativan,Nacionalni,4 — prilično,Iz izjave ili citata političkog aktera ili drugog izvora,0 — neutralan ili mješovit,Neutralni / pretežno faktografski,2 — blago,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Proceduralni,1 — nimalo,Nije moguće procijeniti,0 — neutralan ili mješovit,Proceduralni,3 — umjereno,Nema jasno evaluativnog elementa
-2 — izrazito negativan,Konflikt,4 — prilično,Nije moguće procijeniti,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Iz formulacije samog medija / uredništva,+2 — izrazito pozitivan,Proceduralni,2 — blago,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Nacionalni,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,+1 — umjereno pozitivan,Odgovornost,2 — blago,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Konflikt,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,0 — neutralan ili mješovit,Proceduralni,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,0 — neutralan ili mješovit,Neutralni / pretežno faktografski,1 — nimalo,Iz izjave ili citata političkog aktera ili drugog izvora,+1 — umjereno pozitivan,Proceduralni,1 — nimalo,Iz formulacije samog medija / uredništva,+1 — umjereno pozitivan,Proceduralni,3 — umjereno,Iz formulacije samog medija / uredništva
-1 — umjereno negativan,Odgovornost,4 — prilično,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Iz oba,+2 — izrazito pozitivan,Moralni,3 — umjereno,Iz oba,0 — neutralan ili mješovit,Konflikt,1 — nimalo,Iz izjave ili citata političkog aktera ili drugog izvora,+1 — umjereno pozitivan,Nacionalni,2 — blago,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Iz izjave ili citata političkog aktera ili drugog izvora,0 — neutralan ili mješovit,Odgovornost,1 — nimalo,Iz izjave ili citata političkog aktera ili drugog izvora,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Nacionalni,2 — blago,Iz formulacije samog medija / uredništva
-2 — izrazito negativan,Konflikt,4 — prilično,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,+2 — izrazito pozitivan,Moralni,2 — blago,Iz formulacije samog medija / uredništva,-2 — izrazito negativan,Konflikt,4 — prilično,Iz izjave ili citata političkog aktera ili drugog izvora,+2 — izrazito pozitivan,Proceduralni,3 — umjereno,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Konflikt,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,-2 — izrazito negativan,Nacionalni,4 — prilično,Iz izjave ili citata političkog aktera ili drugog izvora,0 — neutralan ili mješovit,Moralni,3 — umjereno,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Iz formulacije samog medija / uredništva
-2 — izrazito negativan,Moralni,5 — veoma,Iz formulacije samog medija / uredništva,+1 — umjereno pozitivan,Proceduralni,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,+1 — umjereno pozitivan,Proceduralni,2 — blago,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Konflikt,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,+2 — izrazito pozitivan,Proceduralni,2 — blago,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Konflikt,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,-1 — umjereno negativan,Nacionalni,3 — umjereno,Iz izjave ili citata političkog aktera ili drugog izvora,-1 — umjereno negativan,Proceduralni,2 — blago,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Nema jasno evaluativnog elementa,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Nema jasno evaluativnog elementa
-2 — izrazito negativan,Moralni,5 — veoma,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,+1 — umjereno pozitivan,Proceduralni,3 — umjereno,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Konflikt,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,+2 — izrazito pozitivan,Proceduralni,3 — umjereno,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Konflikt,3 — umjereno,Iz izjave ili citata političkog aktera ili drugog izvora,-1 — umjereno negativan,Odgovornost,3 — umjereno,Iz izjave ili citata političkog aktera ili drugog izvora,-1 — umjereno negativan,Moralni,4 — prilično,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,2 — blago,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Nema jasno evaluativnog elementa
-2 — izrazito negativan,Moralni,4 — prilično,Iz formulacije samog medija / uredništva,+1 — umjereno pozitivan,Proceduralni,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,+2 — izrazito pozitivan,Proceduralni,3 — umjereno,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Konflikt,3 — umjereno,Iz izjave ili citata političkog aktera ili drugog izvora,+2 — izrazito pozitivan,Proceduralni,3 — umjereno,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Konflikt,3 — umjereno,Iz izjave ili citata političkog aktera ili drugog izvora,-1 — umjereno negativan,Odgovornost,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,-1 — umjereno negativan,Proceduralni,2 — blago,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Nema jasno evaluativnog elementa
-2 — izrazito negativan,Moralni,5 — veoma,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Iz izjave ili citata političkog aktera ili drugog izvora,+2 — izrazito pozitivan,Moralni,2 — blago,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Konflikt,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,+2 — izrazito pozitivan,Nacionalni,4 — prilično,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Konflikt,3 — umjereno,Iz izjave ili citata političkog aktera ili drugog izvora,-1 — umjereno negativan,Odgovornost,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,-1 — umjereno negativan,Proceduralni,2 — blago,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Nema jasno evaluativnog elementa,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Iz formulacije samog medija / uredništva
-1 — umjereno negativan,Moralni,4 — prilično,Iz formulacije samog medija / uredništva,+1 — umjereno pozitivan,Proceduralni,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,+1 — umjereno pozitivan,Proceduralni,2 — blago,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Konflikt,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,-1 — umjereno negativan,Proceduralni,2 — blago,Iz formulacije samog medija / uredništva,-2 — izrazito negativan,Konflikt,4 — prilično,Iz izjave ili citata političkog aktera ili drugog izvora,-1 — umjereno negativan,Odgovornost,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,-2 — izrazito negativan,Moralni,4 — prilično,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,2 — blago,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Proceduralni,1 — nimalo,Iz formulacije samog medija / uredništva
-1 — umjereno negativan,Moralni,4 — prilično,Iz formulacije samog medija / uredništva,+1 — umjereno pozitivan,Proceduralni,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,+2 — izrazito pozitivan,Moralni,4 — prilično,Iz formulacije samog medija / uredništva,-2 — izrazito negativan,Konflikt,3 — umjereno,Iz izjave ili citata političkog aktera ili drugog izvora,+1 — umjereno pozitivan,Proceduralni,4 — prilično,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Odgovornost,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,-1 — umjereno negativan,Odgovornost,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Nema jasno evaluativnog elementa,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Nema jasno evaluativnog elementa
-2 — izrazito negativan,Moralni,4 — prilično,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Iz izjave ili citata političkog aktera ili drugog izvora,+2 — izrazito pozitivan,Moralni,2 — blago,Iz formulacije samog medija / uredništva,-2 — izrazito negativan,Konflikt,4 — prilično,Iz izjave ili citata političkog aktera ili drugog izvora,+2 — izrazito pozitivan,Proceduralni,3 — umjereno,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Konflikt,3 — umjereno,Iz izjave ili citata političkog aktera ili drugog izvora,-1 — umjereno negativan,Konflikt,4 — prilično,Iz izjave ili citata političkog aktera ili drugog izvora,0 — neutralan ili mješovit,Moralni,3 — umjereno,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Iz formulacije samog medija / uredništva
-1 — umjereno negativan,Odgovornost,3 — umjereno,Iz formulacije samog medija / uredništva,+1 — umjereno pozitivan,Nacionalni,3 — umjereno,Iz izjave ili citata političkog aktera ili drugog izvora,+1 — umjereno pozitivan,Proceduralni,3 — umjereno,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Konflikt,4 — prilično,Iz izjave ili citata političkog aktera ili drugog izvora,+1 — umjereno pozitivan,Proceduralni,2 — blago,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Konflikt,3 — umjereno,Iz izjave ili citata političkog aktera ili drugog izvora,-2 — izrazito negativan,Konflikt,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,0 — neutralan ili mješovit,Moralni,2 — blago,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Proceduralni,1 — nimalo,Nema jasno evaluativnog elementa,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Iz formulacije samog medija / uredništva
-2 — izrazito negativan,Konflikt,4 — prilično,Iz oba,-1 — umjereno negativan,Proceduralni,3 — umjereno,Iz izjave ili citata političkog aktera ili drugog izvora,+2 — izrazito pozitivan,Moralni,2 — blago,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Konflikt,4 — prilično,Iz izjave ili citata političkog aktera ili drugog izvora,+2 — izrazito pozitivan,Proceduralni,3 — umjereno,Iz formulacije samog medija / uredništva,-1 — umjereno negativan,Konflikt,2 — blago,Iz izjave ili citata političkog aktera ili drugog izvora,-2 — izrazito negativan,Konflikt,3 — umjereno,Iz izjave ili citata političkog aktera ili drugog izvora,0 — neutralan ili mješovit,Moralni,3 — umjereno,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Iz formulacije samog medija / uredništva,0 — neutralan ili mješovit,Proceduralni,1 — nimalo,Iz formulacije samog medija / uredništva
